"s2n","Baseline_alpha","Baseline_beta","Larger threshold_alpha","Larger threshold_beta","Larger interpret_alpha","Larger interpret_beta","Larger slope_alpha","Larger slope_beta","Correlated_alpha","Correlated_beta"
3.451,0.842856370722841,-0.685749965976779,0.660880202864671,-0.612478514838729,0.622290338554889,-0.606006269267286,0.943748623155028,-0.886972702888185,-0.227849417766686,1.45928575605816
3.501,0.842864529575823,-0.685938376352327,0.661355035001361,-0.612922029417709,0.623102840367322,-0.607188942824491,0.943772990015765,-0.887389847302191,-0.220451397938037,1.44073634839202
3.551,0.844694247476683,-0.690081285819848,0.663766461290132,-0.615377664157616,0.623130465732411,-0.607878627296987,0.943959370993318,-0.88862101970725,-0.207405681164526,1.40678926535833
3.601,0.846317507038649,-0.691689818522453,0.665951348498079,-0.617968988186374,0.623603646063134,-0.608604239511465,0.944695221253085,-0.889103744839076,-0.196401442230393,1.38862009234955
3.651,0.845996912770758,-0.692641322717954,0.667386298927979,-0.619892736534881,0.622566190219988,-0.608235286494644,0.945100820102322,-0.890160066019805,-0.189404353498933,1.3752111253055
3.701,0.846737444493716,-0.694074043162464,0.669990942840365,-0.622367127678937,0.621970679666703,-0.608277451357506,0.945054504086051,-0.890131926797909,-0.169699659820149,1.34097142170685
3.751,0.847729911518597,-0.695162273745349,0.672992614242269,-0.625497354363255,0.623248284648102,-0.609489988187925,0.945359939297719,-0.890148586146053,-0.163949520568387,1.3276345826653
3.801,0.848062614629302,-0.697312660577472,0.674337914933903,-0.627125947770693,0.622698559070579,-0.609453591222147,0.945959105162447,-0.892259375667423,-0.150888797144438,1.29385406708147
3.851,0.84996907507451,-0.699836082266713,0.679437180159759,-0.631984094361973,0.623540919465275,-0.610977981366747,0.946140071826576,-0.892411951231196,-0.133653756097757,1.27118180063836
3.901,0.850447875891549,-0.701677518431745,0.678793917302542,-0.631361520634449,0.623094293821368,-0.610988258584952,0.946685408669778,-0.893535806302957,-0.126115625861715,1.2518690308447
3.951,0.85163742970731,-0.702859956850133,0.682071578780304,-0.63521896798038,0.624288227556519,-0.612506616942206,0.947415260253864,-0.894397973182066,-0.113429285179322,1.23279608685765
4.001,0.851895248930755,-0.704672209847453,0.681432773836304,-0.634200296885938,0.623134847385497,-0.611318542171373,0.946946922921529,-0.894555961597286,-0.107325885566598,1.21100660956672
4.051,0.853795694471952,-0.707963902401474,0.685500654061125,-0.638730736347916,0.623436761773711,-0.612281493705789,0.947997686829536,-0.896099947085846,-0.0905508594325057,1.18030793211111
4.101,0.854983153396131,-0.70913232692011,0.689184592098841,-0.64282428456054,0.624264045035367,-0.613103319711845,0.948497871242678,-0.896541948267459,-0.0825814254078617,1.16710702014626
4.151,0.854983563629375,-0.709778188183319,0.688944832975577,-0.642363800303801,0.624004695442135,-0.613251158224237,0.948292120389446,-0.896168433271423,-0.0718502101049014,1.14441312521875
4.201,0.855190350154727,-0.710732165891755,0.691550642159121,-0.64505163137981,0.623882590398202,-0.613815060658858,0.94910453344322,-0.898058028093216,-0.0619581168393665,1.12697211861311
4.251,0.856735881994939,-0.712117343585042,0.693090194063476,-0.646503718772851,0.624681054879249,-0.614263616413265,0.949064931119124,-0.897991921649746,-0.0538683295260957,1.10737669562156
4.301,0.857082464291653,-0.71448942434452,0.696700834704681,-0.650648961361426,0.623283808072275,-0.613776393080041,0.949334097265071,-0.898771828382341,-0.0428894526511746,1.08497304976695
4.351,0.857777991300292,-0.715122384168211,0.696485339125284,-0.650463167622186,0.624394084914626,-0.614949591074294,0.949534711521143,-0.898712221464978,-0.0378177319900038,1.07621410031418
4.401,0.858361067805531,-0.717043793495638,0.698310264512588,-0.652387772193286,0.624011733219678,-0.615048244726859,0.949813464201939,-0.899753907559175,-0.0294248815466372,1.05413009661508
4.451,0.859214976038979,-0.718515852937728,0.700882264064954,-0.655357270110312,0.624351791890684,-0.615242001942459,0.950315300963637,-0.900230762094721,-0.0183141797486517,1.03450773860114
4.501,0.860223012630981,-0.720917888640243,0.70135628070661,-0.65559493721384,0.624315211489776,-0.615514820361282,0.950215055914538,-0.900837893976642,-0.00916976170426653,1.01165580578251
4.551,0.860655344271738,-0.7215280052156,0.704196039271131,-0.658882806709085,0.624823941233057,-0.61635743475243,0.950376321725081,-0.901140080586925,-0.000527308591351527,1.00416242631018
4.601,0.861244852137789,-0.72257595204624,0.705867168380137,-0.660701951620407,0.624975842379369,-0.616391052815008,0.950654058282104,-0.90157793470401,0.0117112145183329,0.983079193560266
4.651,0.862332990544634,-0.724016231310921,0.706532911642617,-0.661172849459176,0.625020368155986,-0.617373943576639,0.951515939102532,-0.902973978577138,0.0160997795057475,0.967484553859985
4.701,0.862506885672793,-0.725603086561415,0.708764036035322,-0.663443200854076,0.62401615290075,-0.616292334916346,0.951875121575579,-0.903045886267734,0.0258271637717762,0.952687323227189
4.751,0.863408478701258,-0.726295944772661,0.70955614663358,-0.664533474291832,0.624999530112284,-0.617521950471109,0.952098214553458,-0.903979908628358,0.032619378344551,0.933660555393937
4.801,0.863785180067882,-0.726729018023955,0.712438810712889,-0.667684855955588,0.625319120375656,-0.617773047931389,0.952136560525873,-0.903566582188024,0.0399344387145365,0.922133843635054
4.851,0.863592822274706,-0.727738051926293,0.712497220918456,-0.667715094651365,0.624877731908084,-0.61765560841619,0.951867292965343,-0.903979935227786,0.0401357440329151,0.915467457486548
4.901,0.86516979646801,-0.729427067398901,0.716757458995822,-0.671857240744817,0.626170942571159,-0.619425271661062,0.952345478802016,-0.90431346547114,0.057682297857284,0.894135669341288
4.951,0.865458460146994,-0.731461726507281,0.715817760587244,-0.671063929228468,0.624814087467301,-0.618367315296032,0.952330936575958,-0.905287802206419,0.057543877345938,0.882723598267819
5.001,0.865382653418445,-0.731299883462296,0.717642916650137,-0.673440166958275,0.624926481376745,-0.618381016061294,0.952327391936084,-0.904729948587335,0.0667816097814836,0.866012504502987
5.051,0.86798514265609,-0.735229668203535,0.72011933987661,-0.675479046378873,0.626213178207067,-0.61997779239257,0.953760632696654,-0.907287784730829,0.082754452568032,0.842653024476803
5.101,0.867392834011658,-0.734850032439666,0.722685045559945,-0.678594183761788,0.625114811533657,-0.618766799867576,0.953434514536215,-0.906611986119681,0.0894016909190974,0.823597157363002
5.151,0.867326811898618,-0.734961932172158,0.722217820213145,-0.678315766263126,0.62517398162754,-0.619297496457023,0.953362911162497,-0.907057949516667,0.0891550697258551,0.825201759268336
5.201,0.869210988007402,-0.73795264954783,0.7238999649017,-0.679753651261798,0.625091994618863,-0.619410148364682,0.954282763052273,-0.908298241091082,0.104087774913265,0.794075562708346
5.251,0.868919816833982,-0.737482245882796,0.72429199036958,-0.680398958580911,0.625472917813562,-0.619815251082716,0.953940644830972,-0.908044002277977,0.103813458494634,0.797963167120274
5.301,0.869462056944567,-0.739276194348414,0.726583903053039,-0.682999320370246,0.625330447001252,-0.619643486953383,0.954022597672228,-0.907922009115781,0.100459883009976,0.785986346139944
5.351,0.869856421031567,-0.741051263868007,0.727998772830062,-0.684572768110225,0.624328145682083,-0.619170090610077,0.954430090683098,-0.909171508725427,0.116235461043023,0.758424018274865
5.401,0.870747700039042,-0.741318189615195,0.728586181509134,-0.685751193877194,0.625189013518698,-0.619928143523934,0.954851081632367,-0.909534144831889,0.121707169196077,0.756702705733971
5.451,0.871944995435596,-0.743052973817092,0.731327354924776,-0.687708019539466,0.626818377319642,-0.621895333822059,0.955092230943966,-0.909413171634268,0.132914587916454,0.742919887616311
5.501,0.8711599981594,-0.742318000650588,0.73188455778023,-0.688319997616421,0.625568107712219,-0.620326665772787,0.954823218680593,-0.909468082043446,0.132449687785538,0.734373848996001
5.551,0.871878040869283,-0.743977754386706,0.733715146350647,-0.690412834521882,0.625101577078192,-0.620135539640391,0.955355569792584,-0.910809897291985,0.140172045277918,0.721330544492881
5.601,0.873034503167189,-0.745733914216418,0.733749429891531,-0.690793539506655,0.62603338687572,-0.621085263162751,0.95533204260599,-0.911036367069912,0.145707193138883,0.71001031913845
5.651,0.87336737081456,-0.746245963830443,0.735478321906466,-0.692499704658607,0.626002898376308,-0.621470295268237,0.955605575690215,-0.911109950816526,0.153987847687268,0.6934927474957
5.701,0.87406433380567,-0.747882175502382,0.734311823338616,-0.691316900817508,0.625250470866432,-0.620750537697122,0.955580981795124,-0.911303977561792,0.163179253504106,0.678268049265586
5.751,0.874639164540969,-0.749418063718995,0.737462165538422,-0.694586732765149,0.625570175438596,-0.62113453187424,0.956181589951468,-0.912694193311831,0.170007382945351,0.664380527136479
5.801,0.875010261965452,-0.750039977317351,0.739358121485705,-0.696939127240322,0.625409788778497,-0.621091743791871,0.956334245829731,-0.913065783873036,0.173672200813621,0.653900465607271
5.851,0.87471503855861,-0.750311346098416,0.739024486884856,-0.696847856504551,0.625081040681482,-0.62104768776557,0.955980295961072,-0.912285603485892,0.175342176185275,0.644847434066771
5.901,0.875273085602467,-0.75134648178697,0.741838016398145,-0.699281277840494,0.62580420229403,-0.621727726422227,0.956434617930499,-0.913314047149997,0.179526502867912,0.640462842398503
5.951,0.876308857260189,-0.752755777718251,0.742158397400333,-0.700250332528533,0.625402544419452,-0.621429811366411,0.956998014676569,-0.913816300865488,0.187924645556607,0.622153418778903
