"year","proxy","rgdp","rgdpprox","rgdpcpi","gdpd","rgdppc","gapip","gap","cpi","cpif","bank","iprod","ipfood","iptex","ipleat","ipchem","ipmach","ipwood","ipmet","share","m2","m3"
"1869","-6.35891247665935","123679","4261.86759760993","59920.181680545","6.4","3181.9","2.64311952424511","-3.27390807013316","13.21","135.9","0","237.472416","271","144","234","332","265","284","289","12.86","100","106.3291139"
"1870","-10.4023322872678","127371","4692.00366362282","61722.0735177866","6.13","3191.9","0.562110402290208","-3.81523459547932","12.65","130.4","0","242.9686184","269","141","227","356","280","294","300","13.55","105.46875","114.556962"
"1871","-4.2820022749013","133430","4808.38332833775","64686.5033783784","5.74","3253.6","1.14574536056417","-2.94966775019848","11.84","124.8","0","255.286712","261","181","231","369","300","283","294","14.46554054","117.1875","129.1139241"
"1872","-3.90797002059857","144596","5432.13381705155","70221.875","5.75","3437.4","4.51314327212308","1.02080763339641","11.84","122.2","0","275.7383126","261","197","212","432","304","314","387","15.47263514","125.78125","141.7721519"
"1873","0.00962298328210931","156931","5771.93834154355","76165.649137931","5.63","3630.6","9.35362013051702","4.90037881021337","11.6","119.9","1","302.1669531","335","194","189","482","386","333","405","13.48896396","126.5625","146.2025316"
"1874","-1.34997293240042","159785","5671.63317328262","77576.7753623189","5.36","3596.4","4.55126301031762","2.18925236320251","11.04","120.5","0","300.7324348","379","216","236","467","315","319","385","13.85518018","128.90625","151.2658228"
"1875","-5.34828807449327","159500","5769.3926184329","77501.4097744361","5.17","3506.1","-5.59122333309127","-2.72466950271678","10.64","119.8","0","284.1632834","383","190","224","484","261","334","364","13.33637387","134.375","159.4936709"
"1876","-4.91093916980391","166103","6171.87555259959","80733.4119345525","5.05","3575.3","-6.99066260132053","-3.66276389121825","10.39","115.5","0","294.0049763","383","219","218","462","280","326","377","10.92545045","131.25","159.4936709"
"1877","-1.96498651717634","174368","6451.79855110175","84693.0285714286","4.93","3678.6","-10.9819373951354","-4.07028098896903","10.15","109.4","0","297.750855","374","234","251","526","242","299","424","9.918355856","128.90625","156.3291139"
"1878","-16.6417084867955","179970","7615.81284405424","87472.4922440538","4.7","3724.6","-11.4360815863269","-6.41383568246846","9.67","103.1","0","313.990487","420","252","218","527","270","306","470","10.52871622","123.4375","148.1012658"
"1879","-4.0242371362315","200947","8860.04852149528","97668.1385729059","4.7","4079","-4.99091021439259","-1.06932289494827","9.67","96.6","0","356.3737473","466","251","251","644","302","380","582","15.01486486","129.6875","155.6962025"
"1880","8.4996840451101","217601","9049.70047402554","105616.630676085","4.81","4329.3","0.27141423202554","1.16904181044295","9.91","103.4","0","400.8504984","521","253","278","742","377","403","742","17.82252252","158.59375","180.3797468"
"1881","5.73264721265139","244810","9609.25077768708","118575.983854692","4.8","4756.7","11.3384147941252","7.32617954840939","9.91","105.8","0","478.1217429","596","312","313","782","535","472","810","18.34132883","190.625","212.0253165"
"1882","5.59936224470685","257803","9542.7534720838","124348.974772957","4.78","4874","11.2808739289527","7.10234065147034","9.91","106.3","0","509.4580578","591","306","332","869","621","486","926","17.82252252","205.46875","227.2151899"
"1883","-7.71456770600369","264932","10426.3416255361","127964.065911432","4.69","4866.9","7.91053159124164","4.72185627113169","9.71","104.5","0","523.8028063","641","337","313","898","577","520","948","16.29662162","218.75","239.8734177"
"1884","-9.30900159056867","260564","11017.7044854375","125213.194532072","4.57","4667.4","-1.5931285249032","-1.7756026369876","9.51","101.8","0","505.2505996","748","304","314","945","464","528","904","13.24481982","218.75","241.1392405"
"1885","-8.37156873150884","261466","11828.3316395457","125683.227467811","4.48","4576.9","-10.2472579976388","-6.05270047494386","9.32","95.4","0","490.7210589","808","286","296","948","392","510","940","15.86936937","224.21875","249.3670886"
"1886","-6.29891126924845","282732","13254.0877307204","134855.723684211","4.35","4853.1","-4.40312204195499","-2.68669827849637","9.12","95.5","0","550.479301","844","369","307","1'008","430","502","1'203","17.21216216","242.1875","267.0886076"
"1887","6.83794989208641","303271","13398.7741490608","144070.171366594","4.38","5109.3","-0.5420473627624","0.059035973385955","9.22","96.2","0","604.6681607","977","357","276","1'129","552","543","1'365","16.0829955","258.59375","282.278481"
"1888","0.358704983258784","320708","14086.2779849009","152005.852494577","4.37","5291","2.38198733353929","1.61320874130468","9.22","97.4","0","656.7248797","949","389","270","1'248","701","584","1'430","15.68626126","265.625","292.4050633"
"1889","-5.902080769009","329923","14941.8183898531","156824.385650224","4.24","5330.5","0.123917291208905","0.684166516690065","8.92","99","0","675.3954246","968","418","260","1'241","709","554","1'597","16.23558559","281.25","308.2278481"
"1890","6.81321918119586","361975","15239.1475","172779.450113379","4.21","5740.5","9.91336513328925","6.49577926299568","8.82","95.7","0","780.9547679","1'063","474","269","1'412","905","624","1'871","14.03828829","306.25","332.278481"
"1891","2.54459049648803","366254","15179.5379206601","176482.936507937","4.25","5684.4","7.1013678930593","4.5335591233921","8.82","96.2","0","793.0500746","1'179","486","249","1'536","904","618","1'776","16.51024775","318.75","349.3670886"
"1892","-8.72902913865238","384917","17643.2650789051","187221.534013605","4.29","5839.2","10.2651042349176","6.64447722431752","8.82",NA,"0","852.0310545","1'306","498","251","1'595","926","697","2'056","16.81542793","346.09375","372.7848101"
"1893","6.28234745653213","362574","15636.7821842921","178376.428899083","4.29","5373.9","-2.59006035860393","-2.00594342490811","8.72",NA,"1","778.1632301","1'288","425","252","1'614","825","654","1'726","13.45844595","332.8125","364.556962"
"1894","-11.3257210024186","345390","16171.6964815149","171038.45323741","4.13","5012.2","-13.864037347362","-9.49932167308627","8.34",NA,"0","721.9886059","1'328","407","253","1'547","580","597","1'755","13.12274775","334.375","368.9873418"
"1895","-4.39945410172732","384856","18666.2452747528","193373.592137592","4.09","5492","-1.88758142773338","-1.42120608079273","8.14",NA,"0","846.7941827","1'335","517","306","1'726","714","658","2'259","13.18378378","346.09375","384.1772152"
"1896","-7.33459272307424","378497","20004.6175465226","192038.404176904","4.13","5316.9","-9.20124222448423","-5.97316853079721","8.14",NA,"0","820.9091479","1'389","449","265","1'758","698","678","2'159","12.8786036","339.84375","381.0126582"
"1897","2.80681105488714","394811","20297.1549616555","202807.143034826","4.13","5450.1","-7.35850798979881","-4.81039382906723","8.04",NA,"0","874.5301154","1'481","501","293","1'820","724","643","2'454","14.49605856","362.5","401.2658228"
"1898","6.04030775649005","437979","21439.4793602369","227160.75","4.17","5950.8","4.32703319503648","2.37050764325348","8.04",NA,"0","1030.266169","1'571","640","329","1'937","1'030","667","2'897","17.24268018","410.9375","448.1012658"
"1899","0.528101302349793","467929","23003.7939766225","245022.523631841","4.21","6256.3","8.75336136117674","5.73226806924964","8.04",NA,"0","1129.738426","1'559","671","363","2'189","1'235","676","3'346","18.37184685","475.78125","505.6962025"
